#,Group,# Variety,Experience T1,Experience T2,what factors make finding bugs easier for you,Importance of understandability on bug fixing ,Understandability T1,Understandability T2,Why Do you feel this way
1,Academic,1,Yes,Yes,-,4,3,4,-
2,Academic,3,No,No,"Readability of the code, concretely defined expected behavior",4,4,2,"In task 2 I found it hard to understand what the program was supposed to do, this made it hard to find and fix the bugs"
3,Academic,1,No,No,Clear source code and simply defined unit tests testing single line statements in methods.,4,3,4,The test cases in Task 2 were more difficult to read but what they tested was more limited in scope and had less overlap with different methods in the class under test.
4,Academic,2,Yes,Yes,if is logically make sense.,4,3,3,"Because the test data includes less useful information, some data may help but request more detail."
5,Industry,4,No,No,"Comments, good descriptive method/variable names, clean and straightforward logic",5,4,4,"Most of the test cases had clear names, comments and imperative code that tested only one isolated part of the app functionality"
6,Academic,2,No,No,"Knowing what parts you changed in the first place, frequent committing and making sure test still succeed after you make small changes. Huge changes to codebase can make it very hard to debug and fix.",3,4,4,"tbf i just fixed it in the source code without looking at the tests too much, they guided me I guess to parts of the code where I had to look when I had an initial skim over the code. After the ""noticeable"" bugs were fixed I looked at the remaining failing tests to fix the rest"
7,Academic,3,Yes,Yes,"Documented methods, particularly when there's some math involved, e.g. Test 2 had some math computation and methods where not documented. Moreover, for ""magic numbers"" within tests should be clear what they meant for.",4,5,2,"The test cases of Task1 had variables name self-explainatory, instead Task 2 had stuff like 'budget0' or 'timeOfDay0'. Expecially when working with Dates :)"
8,Academic,4,No,No,"Clear, well-structured code, both of the main application and test cases (method name, variable names) is the most important, as it allows to build a mental model quickly and to identify basic logic issues. To aid further with debugging, extra context can be quite helpful, such as comments and easily understandable data/mocking.",5,4,5,"Both codebases and respective test suites were understandable. Task 1 method names are verbose but are easily comprehensible. Task 1 identifiers could be more human-like. Task 1 benefits from the test cases being relatively straightforward, but for more complex test cases readability would not be great."
9,Industry,3,Yes,Yes,Good docs and good test coverage,5,4,2,Lack of specification in the Task2
10,Academic,4,No,Yes,"The already existing tests that in theory should infer the correct output of the code and the Javadoc that explains the intent and the behavior of the code e.g. return type, calculation formula etc.",2,4,3,"For task 2, the calorie counter the Javadoc was saying that some outputs should be integers and the tests were asserting doubles. In a test-driven development setting, the tests should actually be the actual behavior of the code so the src should have been modified no the tests. On the other hand, the javadoc was explaining a different behavior of the code. I think the understandability reflects a lot the coding practices the developers used writing the code."
