Class,Project,Lines,String_Char_Count,Number_Types_Count
"ChartEncoder","de","140","20","0"
"BarChartRenderer","progra","169","11","1"
"Triangle2D","charting","141","2","30"
"Diamond2D","charting","135","2","26"
"PieChartRenderer","progra","123","5","25"
"PlotChartRenderer","progra","102","5","1"
"RadarChartRenderer","progra","189","5","22"
"AbstractRenderer","progra","114","2","2"
"InterpolationChartRenderer","progra","125","6","14"
"RowColorModel","progra","178","10","6"
"StackedBarChartRenderer","progra","186","10","5"
"ChartRenderingHints","progra","65","3","5"
"Renderer","progra","61","2","0"
"AbstractChartRenderer","progra","190","6","2"
"LineChartRenderer","progra","105","5","0"
"CoordSystem","de","572","19","10"
"Title","de","120","11","0"
"ChartServlet","progra","127","15","0"
"ChartUtilities","de","318","3","62"
"DefaultChart","de","178","14","0"
"ChartDataModelEvent","progra","44","2","0"
"ChartDataModelListener","progra","38","3","0"
"AbstractChart","de","194","18","2"
"Chart","de","123","11","0"
"ChartPanel","progra","220","40","4"
"CoordSystemUtilities","de","416","19","72"
"Axis","de","124","3","8"
"DefaultChartDataModel","progra","319","9","26"
"JDBCPlotter","progra","236","29","18"
"EditableChartDataModel","progra","193","7","8"
"EditableDataSet","progra","92","3","0"
"ChartDataModelConstraints","progra","56","2","2"
"JDBCPlotterException","progra","62","4","0"
"AbstractChartDataModel","progra","231","8","7"
"FunctionPlotter","progra","131","9","14"
"DefaultChartDataModelConstraints","progra","149","4","16"
"ChartDataModel","progra","174","6","5"
"ObjectChartDataModel","progra","313","12","14"
"StackedChartDataModelConstraints","progra","193","4","30"
"DefaultDataSet","progra","149","9","0"
"DataSet","progra","82","6","0"
"EncodingException","de","62","4","0"
"Legend","de","163","5","4"
"PointToPixelTranslator","de","44","2","0"
"GraphFrame","progra","219","24","7"
"TestChartDataModel","progra","240","9","38"
"FunctionPlotApplet","progra","115","20","6"
"TestChart","progra","631","68","16"
"Scanner","src","2201","92","73"
"Interpreter","src","30","1","0"
"Codes","src","140","2","54"
"LoggerEqualsCondition","huxhorn","126","33","0"
"GroovyCondition","huxhorn","204","37","0"
"LilithCondition","huxhorn","26","1","0"
"EventContainsCondition","huxhorn","398","90","0"
"MessageContainsCondition","huxhorn","137","34","0"
"LoggerStartsWithCondition","huxhorn","130","34","0"
"SendBytesService","huxhorn","34","0","7"
"DataOutputStreamFactory","huxhorn","27","0","0"
"WriteByteStrategy","huxhorn","34","0","7"
"MessageWriteByteStrategy","huxhorn","42","0","11"
"SimpleSendBytesService","huxhorn","314","0","9"
"ConnectionState","huxhorn","26","0","0"
"HeartbeatRunnable","huxhorn","59","0","2"
"SocketDataOutputStreamFactory","huxhorn","72","3","0"
"MultiplexSendBytesService","huxhorn","138","5","6"
"AlarmSoundLoggingEventConsumer","huxhorn","63","0","0"
"FileSplitterEventConsumer","huxhorn","121","0","0"
"UserNotificationAccessEventConsumer","huxhorn","64","0","0"
"FileDumpEventConsumer","huxhorn","55","0","0"
"SocketEventConsumer","huxhorn","216","4","0"
"RrdLoggingEventConsumer","huxhorn","277","22","12"
"StdoutEventConsumer","huxhorn","106","0","0"
"UserNotificationLoggingEventConsumer","huxhorn","59","0","0"
"AlarmSoundAccessEventConsumer","huxhorn","68","0","0"
"LoggingEventReader","lilith","378","46","2"
"LoggingEventSchemaConstants","lilith","72","22","0"
"Log4jImportCallable","lilith","156","13","3"
"InternalLilithAppender","huxhorn","107","4","0"
"FileConstants","huxhorn","43","12","0"
"EventProducer","huxhorn","30","0","0"
"EventSource","huxhorn","37","0","0"
"AccessFileBufferFactory","huxhorn","73","6","0"
"EventConsumer","huxhorn","28","0","0"
"LoggingFileBufferFactory","huxhorn","73","6","0"
"LilithXmlStreamLoggingEventProducer","engine","136","5","12"
"LilithXmlMessageLoggingEventProducer","engine","42","0","0"
"LilithXmlMessageLoggingServerSocketEventSourceProducer","engine","60","2","0"
"LilithXmlStreamLoggingServerSocketEventSourceProducer","engine","61","2","0"
"LogFileFactoryImpl","lilith","116","10","0"
"EventSourceImpl","lilith","159","7","0"
"LoggingEventWrapperXmlCodec","lilith","34","0","0"
"AccessEventWrapperXmlCodec","lilith","36","0","0"
"CompressingAccessEventWrapperXmlCodec","lilith","36","0","0"
"CompressingLoggingEventWrapperXmlCodec","lilith","34","0","0"
"SourceManagerImpl","engine","232","1","0"
"EventPoller","engine","125","0","0"
"SerializingMessageBasedEventProducer","engine","41","0","0"
"LoggingEventProtobufMessageBasedEventProducer","engine","41","0","0"
"AbstractEventProducer","engine","68","0","0"
"AccessEventProtobufMessageBasedEventProducer","engine","41","0","0"
"AbstractMessageBasedEventProducer","engine","235","2","9"
"AbstractServerSocketEventSourceProducer","engine","162","2","0"
"LoggingEventProtobufServerSocketEventSourceProducer","engine","41","2","0"
"AccessEventProtobufServerSocketEventSourceProducer","engine","41","2","0"
"SerializingMessageBasedServerSocketEventSourceProducer","engine","63","2","0"
"FileBufferFactory","huxhorn","113","14","0"
"EventSourceListener","huxhorn","27","0","0"
"EventSourceProducer","huxhorn","34","0","0"
"SourceManager","huxhorn","51","0","0"
"LogFileFactory","huxhorn","39","1","0"
"ProgressDialog","huxhorn","64","0","2"
"MainFrameTransferHandler","lilith","127","1","0"
"MainFrameTransferHandler16","lilith","80","0","0"
"TabbedLoggingViewContainer","huxhorn","44","0","0"
"HelpFrame","huxhorn","193","0","0"
"ViewContainerInternalFrame","huxhorn","183","6","0"
"TooltipGenerator","lilith","25","1","0"
"ColorsProvider","lilith","23","0","0"
"RequestUriRenderer","swing","94","2","0"
"NdcRenderer","swing","127","2","0"
"LabelCellRenderer","swing","184","2","0"
"SourceRenderer","swing","90","2","0"
"ConditionalBorder","swing","189","0","0"
"RemoteAddrRenderer","swing","94","2","0"
"IdRenderer","swing","88","1","0"
"MarkerRenderer","swing","98","1","0"
"ProtocolRenderer","swing","94","2","0"
"ThrowableRenderer","swing","104","1","0"
"LevelRenderer","swing","127","1","0"
"MessageRenderer","swing","119","2","0"
"TimestampRenderer","swing","112","1","0"
"ThreadRenderer","swing","110","2","0"
"LoggerNameRenderer","swing","104","3","0"
"ToStringRenderer","swing","60","3","0"
"MethodRenderer","swing","94","2","0"
"StatusCodeRenderer","swing","145","2","0"
"ApplicationRenderer","swing","120","6","0"
"ColorScheme","lilith","133","2","0"
"Colors","lilith","81","0","0"
"RequestUrlTooltipGenerator","swing","56","3","0"
"ThrowableTooltipGenerator","swing","55","2","0"
"ApplicationTooltipGenerator","swing","71","5","0"
"NdcTooltipGenerator","swing","70","6","0"
"MarkerTooltipGenerator","swing","102","11","0"
"LoggerNameTooltipGenerator","swing","45","2","0"
"MessageTooltipGenerator","swing","98","11","0"
"SourceTooltipGenerator","swing","52","6","0"
"ThreadTooltipGenerator","swing","97","7","0"
"StatusCodeTooltipGenerator","swing","59","2","0"
"TimestampTooltipGenerator","swing","71","2","0"
"RowBasedTableModel","swing","26","0","0"
"PersistentTableColumnModel","swing","315","7","0"
"BufferTableModel","swing","341","1","3"
"EventWrapperTableModel","swing","51","1","0"
"AccessEventViewTable","lilith","177","9","0"
"LoggingEventViewTable","lilith","205","11","0"
"EventWrapperViewTable","lilith","555","10","0"
"LogImportFileFilter","lilith","50","2","0"
"RrdFileFilter","lilith","35","1","0"
"XmlImportFileFilter","lilith","50","2","0"
"Mp3FileFilter","lilith","36","1","0"
"DirectoryFilter","lilith","30","0","0"
"PngFileFilter","lilith","36","1","0"
"GroovyConditionFileFilter","lilith","34","0","0"
"LilithFileFilter","lilith","52","2","0"
"LogFileFilter","lilith","40","0","0"
"HtmlTransferable","huxhorn","94","6","1"
"StatisticsDialog","huxhorn","121","0","0"
"LicenseAgreementDialog","huxhorn","168","2","0"
"OpenUrlLinkListener","lilith","65","2","0"
"StackTraceElementLinkListener","lilith","55","3","0"
"AccessEventViewManager","huxhorn","35","0","0"
"TabbedPaneViewContainer","huxhorn","585","11","3"
"OneYearProducer","lilith","106","3","0"
"ThirtyDaysProducer","lilith","105","3","0"
"AbstractGraphImageProducer","lilith","107","1","0"
"SevenDaysProducer","lilith","105","3","0"
"GraphImageProducer","lilith","27","0","0"
"TenHoursProducer","lilith","104","3","0"
"TwentyMinutesProducer","lilith","105","3","0"
"NinetyDaysProducer","lilith","106","3","0"
"StatisticsPanel","lilith","554","14","0"
"TwoHoursProducer","lilith","112","3","0"
"OneDayProducer","lilith","107","3","0"
"TaskNameRenderer","swing","63","3","0"
"TaskIdRenderer","swing","62","1","0"
"TaskTableColumnModel","swing","56","3","0"
"TaskTable","swing","160","9","0"
"TaskTableModel","swing","336","3","1"
"TaskProgressRenderer","swing","72","3","2"
"TaskManagerInternalFrame","lilith","38","0","0"
"TaskManagerPanel","lilith","243","0","1"
"ViewActions","huxhorn","3599","59","17"
"TabbedAccessViewContainer","huxhorn","44","0","0"
"AccessEventViewPanel","huxhorn","51","0","0"
"ProgressGlassPane","huxhorn","258","1","0"
"OpenPreviousDialog","huxhorn","409","15","2"
"ApplicationPreferences","huxhorn","2012","184","7"
"SourceNameTableModel","lilith","259","18","0"
"StartupShutdownPanel","lilith","102","0","0"
"SourceFilteringPanel","lilith","298","7","0"
"ConditionTableColumnModel","swing","69","4","0"
"ConditionIndexRenderer","swing","45","1","0"
"ConditionNameRenderer","swing","53","1","0"
"ConditionActiveRenderer","swing","64","0","0"
"ConditionPreviewRenderer","swing","47","0","0"
"ColorSchemePreviewRenderer","swing","81","0","0"
"TroubleshootingPanel","lilith","170","6","0"
"SourceCellRenderer","lilith","38","0","0"
"SoundLocationTableModel","lilith","232","18","0"
"EditConditionDialog","lilith","290","3","0"
"EditSourceNameDialog","lilith","268","9","0"
"SourcesPanel","lilith","357","22","0"
"EditSourceListDialog","lilith","466","10","0"
"ConditionTableModel","lilith","272","1","0"
"ColorSchemeEditorPanel","lilith","175","0","0"
"GeneralPanel","lilith","250","6","0"
"SavedCondition","lilith","169","6","0"
"Source","lilith","87","7","0"
"SourceListsPanel","lilith","411","15","0"
"SoundsPanel","lilith","236","11","0"
"PreferencesDialog","lilith","459","41","0"
"ConditionsPanel","lilith","479","2","0"
"GenericSortedListModel","lilith","124","0","0"
"ViewContainer","huxhorn","446","5","0"
"SplashScreen","huxhorn","136","3","0"
"ViewWindow","huxhorn","40","1","0"
"EventWrapperViewPanel","huxhorn","1745","41","2"
"ViewManager","huxhorn","203","0","0"
"LoggingEventViewManager","huxhorn","35","0","0"
"MainFrame","huxhorn","3149","140","5"
"FindNextCallable","lilith","90","0","0"
"FilteringCallable","lilith","107","0","0"
"CleanObsoleteCallable","lilith","71","0","0"
"IndexingCallable","lilith","171","0","0"
"CleanAllInactiveCallable","lilith","80","0","0"
"CallableMetaData","lilith","110","26","0"
"FindPreviousCallable","lilith","90","0","0"
"ColorIcon","huxhorn","56","0","0"
